texcl,hiOM_l,hiOM_h,mdOM_l,mdOM_h,loOM_l,loOM_h
COS,0.04,0.06,0.03,0.05,0.02,0.04
GR,0.04,0.06,0.03,0.05,0.02,0.04
S,0.07,0.09,0.06,0.08,0.05,0.08
FS,0.07,0.09,0.06,0.08,0.05,0.08
VFS,0.07,0.09,0.06,0.08,0.05,0.08
LCOS,0.07,0.08,0.06,0.07,0.05,0.07
LS,0.08,0.1,0.07,0.09,0.06,0.08
LFS,0.1,0.13,0.09,0.12,0.08,0.11
LVFS,0.11,0.13,0.1,0.12,0.09,0.11
COSL,0.11,0.14,0.1,0.13,0.09,0.12
SL,0.13,0.15,0.12,0.14,0.1,0.13
FSL,0.16,0.18,0.15,0.17,0.13,0.15
VFSL,0.18,0.2,0.16,0.19,0.14,0.17
L,0.2,0.22,0.17,0.19,0.17,0.18
SIL,0.22,0.24,0.2,0.22,0.15,0.2
SICL,0.21,0.23,0.18,0.2,0.17,0.21
SCL,0.18,0.2,0.16,0.18,0.14,0.18
CL,0.17,0.19,0.15,0.19,0.17,0.21
SIC,0.12,0.14,0.11,0.13,0.14,0.17
SC,0.13,0.15,0.15,0.17,0.14,0.16
C,0.13,0.15,0.15,0.17,0.14,0.16
C_heavy,0.15,0.18,0.13,0.16,0.12,0.15
HPM,0.35,0.45,NA,NA,NA,NA
MPM,0.45,0.55,NA,NA,NA,NA
SPM,0.55,0.65,NA,NA,NA,NA
