"","variable","all.profiles","p.q5","p.q25","p.q50","p.q75","p.q95","top","bottom","contributing_fraction","hzID"
"1","mt_montmorillonite_x_ray",1,1,1,1,1,1,0,1,0.153846153846154,"1"
"2","mt_montmorillonite_x_ray",1,1,1,1,1,1,1,2,0.153846153846154,"2"
"3","mt_montmorillonite_x_ray",1,1,1,1,1,1,2,3,0.153846153846154,"3"
"4","mt_montmorillonite_x_ray",1,1,1,1,1,1,3,4,0.153846153846154,"4"
"5","mt_montmorillonite_x_ray",1,1,1,1,1,1,4,5,0.153846153846154,"5"
"6","mt_montmorillonite_x_ray",1,1,1,1,1,1,5,6,0.230769230769231,"6"
"7","mt_montmorillonite_x_ray",1,1,1,1,1,1,6,7,0.230769230769231,"7"
"8","mt_montmorillonite_x_ray",1,1,1,1,1,1,7,8,0.153846153846154,"8"
"9","mt_montmorillonite_x_ray",1,1,1,1,1,1,8,9,0.153846153846154,"9"
"10","mt_montmorillonite_x_ray",1,1,1,1,1,1,9,10,0.153846153846154,"10"
"11","mt_montmorillonite_x_ray",1,1,1,1,1,1,10,11,0.153846153846154,"11"
"12","mt_montmorillonite_x_ray",1,1,1,1,1,1,11,12,0.153846153846154,"12"
"13","mt_montmorillonite_x_ray",1,1,1,1,1,1,12,13,0.153846153846154,"13"
"14","mt_montmorillonite_x_ray",1,1,1,1,1,1,13,14,0.153846153846154,"14"
"15","mt_montmorillonite_x_ray",1,1,1,1,1,1,14,15,0.153846153846154,"15"
"16","mt_montmorillonite_x_ray",1,1,1,1,1,1,15,16,0.153846153846154,"16"
"17","mt_montmorillonite_x_ray",1,1,1,1,1,1,16,17,0.153846153846154,"17"
"18","mt_montmorillonite_x_ray",1,1,1,1,1,1,17,18,0.153846153846154,"18"
"19","mt_montmorillonite_x_ray",1,1,1,1,1,1,18,19,0.153846153846154,"19"
"20","mt_montmorillonite_x_ray",1,1,1,1,1,1,19,20,0.153846153846154,"20"
"21","mt_montmorillonite_x_ray",1,1,1,1,1,1,20,21,0.153846153846154,"21"
"22","mt_montmorillonite_x_ray",1,1,1,1,1,1,21,22,0.153846153846154,"22"
"23","mt_montmorillonite_x_ray",1,1.05,1.25,1.5,1.75,1.95,22,23,0.153846153846154,"23"
"24","mt_montmorillonite_x_ray",1,1.1,1.5,2,2,2,23,24,0.230769230769231,"24"
"25","mt_montmorillonite_x_ray",1,1.1,1.5,2,2,2,24,25,0.230769230769231,"25"
"26","mt_montmorillonite_x_ray",1,1,1,1.5,2,2,25,26,0.307692307692308,"26"
"27","mt_montmorillonite_x_ray",1,1,1,1.5,2,2,26,27,0.307692307692308,"27"
"28","mt_montmorillonite_x_ray",1,1,1,2,2,2.8,27,28,0.384615384615385,"28"
"29","mt_montmorillonite_x_ray",1,1,1,1.5,2,2.75,28,29,0.461538461538462,"29"
"30","mt_montmorillonite_x_ray",1,1,1,1.5,2,2.75,29,30,0.461538461538462,"30"
"31","mt_montmorillonite_x_ray",1,1,1,2,2.5,3,30,31,0.538461538461538,"31"
"32","mt_montmorillonite_x_ray",1,1,1,2,2.5,3,31,32,0.538461538461538,"32"
"33","mt_montmorillonite_x_ray",1,1,1,2,2.5,3,32,33,0.538461538461538,"33"
"34","mt_montmorillonite_x_ray",1,1,1,2,3,3,33,34,0.615384615384615,"34"
"35","mt_montmorillonite_x_ray",1,1,1,2,3,3,34,35,0.615384615384615,"35"
"36","mt_montmorillonite_x_ray",1,1,1,2,3,3,35,36,0.615384615384615,"36"
"37","mt_montmorillonite_x_ray",1,1,1,2,3,3,36,37,0.615384615384615,"37"
"38","mt_montmorillonite_x_ray",1,1,1,2,3,3,37,38,0.615384615384615,"38"
"39","mt_montmorillonite_x_ray",1,1,1,2,3,3,38,39,0.615384615384615,"39"
"40","mt_montmorillonite_x_ray",1,1,1,2,3,3,39,40,0.692307692307692,"40"
"41","mt_montmorillonite_x_ray",1,1,1,2,3,3,40,41,0.692307692307692,"41"
"42","mt_montmorillonite_x_ray",1,1,1,2,3,3,41,42,0.692307692307692,"42"
"43","mt_montmorillonite_x_ray",1,1,1,2,3,3,42,43,0.692307692307692,"43"
"44","mt_montmorillonite_x_ray",1,1,1,2,3,3,43,44,0.692307692307692,"44"
"45","mt_montmorillonite_x_ray",1,1,1,2,3,3,44,45,0.692307692307692,"45"
"46","mt_montmorillonite_x_ray",1,1,1,2,3,3,45,46,0.692307692307692,"46"
"47","mt_montmorillonite_x_ray",1,1,1,2,2.75,3,46,47,0.769230769230769,"47"
"48","mt_montmorillonite_x_ray",1,1,1,2,2.75,3,47,48,0.769230769230769,"48"
"49","mt_montmorillonite_x_ray",1,1,1,2,2,3,48,49,0.769230769230769,"49"
"50","mt_montmorillonite_x_ray",1,1,1,2,2,3,49,50,0.769230769230769,"50"
