"","taxon","n","0%","5%","25%","50%","75%","95%","100%"
"1","Alamo",0,NA,NA,NA,NA,NA,NA,NA
"2","Amador",5,134,141.2,170,177,184,186.4,187
"3","Angelscreek",16,138,139.5,152.25,154,164.75,183.25,190
"4","Aquariusmine",15,143,145.1,148,152,155.5,158,158
"5","Archerdale",1,179,179,179,179,179,179,179
"6","Arpatutu",17,137,137,138,143,148,160,164
"7","Auberry",15,130,134.2,139,147,168.5,189.4,202
"8","Auburn",18,134,159.5,169.25,180,189,203.35,211
"9","Bellota",1,176,176,176,176,176,176,176
"10","Beybek",9,132,135.6,147,155,157,158,158
"11","Bonanza",16,164,164,169,173,178,195.75,198
"12","Bottlehill",5,121,122.8,130,140,141,145.8,147
"13","Capay",0,NA,NA,NA,NA,NA,NA,NA
"14","Chawanakee",6,128,128.25,132.75,145.5,147.75,148,148
"15","Cogna",0,NA,NA,NA,NA,NA,NA,NA
"16","Columbia",0,NA,NA,NA,NA,NA,NA,NA
"17","Copperopolis",20,162,166.75,169.75,176.5,180.25,187.1,189
"18","Crimeahouse",27,162,162,167,177,181,187.4,188
"19","Deerflat",16,134,135.5,138.5,143.5,147,157.25,164
"20","Devilsnose",8,97,97.7,100.5,123,124.25,130.2,133
"21","Donpedro",5,162,165.2,178,185,188,193.6,195
"22","Dunstone",33,144,155.8,169,180,197,208,212
"23","Fancher",5,149,151.2,160,168,176,181.6,183
"24","Fiddletown",8,87,87.7,91.25,111,119,127.6,129
"25","Finrod",0,NA,NA,NA,NA,NA,NA,NA
"26","Flanly",17,143,145.4,151,159,177,192,192
"27","Fricot",6,133,135,142.5,150,153.75,158.5,160
"28","Fuches",6,125,126,129.75,133,136.25,150.5,155
"29","Gardellones",13,148,154.6,165,166,173,180,183
"30","Goldwall",25,152,166.2,183,189,191,205.8,208
"31","Gopheridge",49,146,149.8,161,175,186,197.6,199
"32","Hetchy",32,126,138.4,155.75,160.5,165.75,178.45,186
"33","Hicksville",1,178,178,178,178,178,178,178
"34","Holland",13,114,118.2,125,128,133,135.8,137
"35","Hollenbeck",0,NA,NA,NA,NA,NA,NA,NA
"36","Honcut",0,NA,NA,NA,NA,NA,NA,NA
"37","Hornitos",5,176,177,181,184,203,203,203
"38","Hotaw",6,141,141.5,143.75,148,151.5,155.75,157
"39","Hurleton",6,143,143.25,144,144.5,147.25,156.25,159
"40","Inks",16,142,142,159.75,163.5,172,181.25,185
"41","Iron Mountain",11,125,128,132,133,139.5,161.5,172
"42","Jasperpeak",16,160,160.75,167.25,172,177.75,188.5,190
"43","Jennylind",8,172,172.7,176.25,181,189.25,193.9,196
"44","Jocal",6,75,79,91.25,93,98.5,126.25,135
"45","Ledmount",1,130,130,130,130,130,130,130
"46","Lickinfork",17,113,119.4,126,131,141,153.6,160
"47","Lilygap",11,77,79,91,97,106,113,115
"48","Loafercreek",86,141,151,159,171,185.75,194,198
"49","Luckymine",20,137,141.75,146,163.5,167.25,173.3,179
"50","Mantree",2,101,101.35,102.75,104.5,106.25,107.65,108
"51","Mariposa",3,129,129,129,129,136.5,142.5,144
"52","Mckeonhills",4,188,188.3,189.5,191.5,194.75,198.95,200
"53","Mercercave",1,147,147,147,147,147,147,147
"54","Millvilla",50,137,144,148,155.5,160.75,174,189
"55","Miltonhills",9,148,150.4,169,179,191,192.6,193
"56","Moccasinhill",24,138,141,150.5,157.5,164,174.7,178
"57","Motherlode",25,151,152,163,168,175,180.4,188
"58","Musick",26,94,96.75,118.25,124.5,139.75,154.25,157
"59","Nedsgulch",68,86,101.4,118.75,132.5,138,147,149
"60","Orose",10,133,138.85,158,162.5,167,173.55,174
"61","Ospital",9,173,176.2,188,195,202,209,211
"62","Pardee",16,152,161.75,170.75,177.5,188.25,193.25,194
"63","Pentz",21,131,139,168,182,185,187,193
"64","Peters",2,178,178.35,179.75,181.5,183.25,184.65,185
"65","Priestgrade",20,127,127.95,137,156.5,163,166.1,168
"66","Redapple",7,80,80.3,83,86,99,120.5,125
"67","Redding",0,NA,NA,NA,NA,NA,NA,NA
"68","Sanguinetti",18,140,141.7,147.25,157.5,163,169.1,181
"69","Shaver",8,124,125.75,129,137.5,140,143.25,145
"70","Shawsflat",4,153,153.75,156.75,159,169.25,191.45,197
"71","Sierra",28,122,123.35,135,146.5,154.25,161,177
"72","Sites",7,88,93.7,110,118,129,145.6,151
"73","Sixbit",17,145,156.2,174,177,179,181,181
"74","Solambo",9,157,157,167,172,178,193.4,197
"75","Swissranch",2,127,127.15,127.75,128.5,129.25,129.85,130
"76","Tiger Creek",10,127,129.25,132.5,137.5,138.75,148.6,154
"77","Toomes",8,135,141.65,157,167.5,177,185.85,189
"78","Veritas",0,NA,NA,NA,NA,NA,NA,NA
"79","Verjeles",6,143,145.25,153.25,159,164,174.75,178
"80","Wallyhill",28,123,133.7,138,141,151.25,157.65,159
"81","Wardsferry",36,132,139.25,149.5,154,160.5,170.25,172
"82","Whiterock",17,164,166.4,173,179,183,189.8,193
"83","Wukusick",13,92,93.2,99,100,130,135.2,137
